timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752172197043,24,HTTP Request,200,,Thread Group 1-2,text,true,,351,638,37,37,http://localhost:8081/transactions,24,0,0
1752172197029,39,HTTP Request,200,,Thread Group 1-10,text,true,,351,638,38,38,http://localhost:8081/transactions,39,0,0
1752172197044,25,HTTP Request,200,,Thread Group 1-17,text,true,,351,638,38,38,http://localhost:8081/transactions,25,0,0
1752172197056,13,HTTP Request,200,,Thread Group 1-38,text,true,,351,638,38,38,http://localhost:8081/transactions,13,0,1
1752172197043,26,HTTP Request,200,,Thread Group 1-5,text,true,,351,638,38,38,http://localhost:8081/transactions,26,0,0
1752172197057,13,HTTP Request,200,,Thread Group 1-32,text,true,,351,638,38,38,http://localhost:8081/transactions,13,0,0
1752172197052,19,HTTP Request,200,,Thread Group 1-4,text,true,,351,638,38,38,http://localhost:8081/transactions,19,0,0
1752172197043,28,HTTP Request,200,,Thread Group 1-9,text,true,,351,638,38,38,http://localhost:8081/transactions,27,0,0
1752172197042,29,HTTP Request,200,,Thread Group 1-21,text,true,,351,638,38,38,http://localhost:8081/transactions,29,0,0
1752172197057,14,HTTP Request,200,,Thread Group 1-6,text,true,,351,638,38,38,http://localhost:8081/transactions,14,0,0
1752172197041,33,HTTP Request,200,,Thread Group 1-22,text,true,,351,638,38,38,http://localhost:8081/transactions,33,0,0
1752172197054,25,HTTP Request,200,,Thread Group 1-18,text,true,,351,638,40,40,http://localhost:8081/transactions,25,0,0
1752172197062,17,HTTP Request,200,,Thread Group 1-3,text,true,,351,638,40,40,http://localhost:8081/transactions,17,0,0
1752172197029,50,HTTP Request,200,,Thread Group 1-33,text,true,,351,638,40,40,http://localhost:8081/transactions,50,0,1
1752172197060,21,HTTP Request,200,,Thread Group 1-20,text,true,,351,638,40,40,http://localhost:8081/transactions,21,0,0
1752172197018,63,HTTP Request,200,,Thread Group 1-7,text,true,,351,638,40,40,http://localhost:8081/transactions,63,0,0
1752172197070,12,HTTP Request,200,,Thread Group 1-32,text,true,,351,638,40,40,http://localhost:8081/transactions,12,0,0
1752172197058,25,HTTP Request,200,,Thread Group 1-28,text,true,,351,638,40,40,http://localhost:8081/transactions,25,0,0
1752172197058,25,HTTP Request,200,,Thread Group 1-8,text,true,,351,638,40,40,http://localhost:8081/transactions,25,0,0
1752172197042,41,HTTP Request,200,,Thread Group 1-13,text,true,,351,638,40,40,http://localhost:8081/transactions,41,0,0
1752172197046,37,HTTP Request,200,,Thread Group 1-25,text,true,,351,638,40,40,http://localhost:8081/transactions,37,0,1
1752172197036,53,HTTP Request,200,,Thread Group 1-34,text,true,,351,638,40,40,http://localhost:8081/transactions,53,0,1
1752172197069,20,HTTP Request,200,,Thread Group 1-5,text,true,,351,638,40,40,http://localhost:8081/transactions,20,0,0
1752172197043,46,HTTP Request,200,,Thread Group 1-1,text,true,,351,638,40,40,http://localhost:8081/transactions,46,0,0
1752172197061,29,HTTP Request,200,,Thread Group 1-11,text,true,,351,638,40,40,http://localhost:8081/transactions,29,0,0
1752172197044,46,HTTP Request,200,,Thread Group 1-23,text,true,,351,638,40,40,http://localhost:8081/transactions,46,0,0
1752172197062,28,HTTP Request,200,,Thread Group 1-29,text,true,,351,638,40,40,http://localhost:8081/transactions,28,0,0
1752172197067,24,HTTP Request,200,,Thread Group 1-2,text,true,,351,638,40,40,http://localhost:8081/transactions,24,0,0
1752172197066,28,HTTP Request,200,,Thread Group 1-24,text,true,,351,638,42,42,http://localhost:8081/transactions,28,0,0
1752172197042,52,HTTP Request,200,,Thread Group 1-35,text,true,,351,638,42,42,http://localhost:8081/transactions,52,0,1
1752172197037,57,HTTP Request,200,,Thread Group 1-19,text,true,,351,638,42,42,http://localhost:8081/transactions,57,0,0
1752172197089,6,HTTP Request,200,,Thread Group 1-34,text,true,,351,638,42,42,http://localhost:8081/transactions,6,0,0
1752172197039,58,HTTP Request,200,,Thread Group 1-16,text,true,,351,638,42,42,http://localhost:8081/transactions,58,0,0
1752172197046,52,HTTP Request,200,,Thread Group 1-30,text,true,,351,638,42,42,http://localhost:8081/transactions,52,0,0
1752172197095,5,HTTP Request,200,,Thread Group 1-19,text,true,,351,638,43,43,http://localhost:8081/transactions,5,0,0
1752172197069,34,HTTP Request,200,,Thread Group 1-38,text,true,,351,638,44,44,http://localhost:8081/transactions,34,0,0
1752172197089,16,HTTP Request,200,,Thread Group 1-1,text,true,,351,638,44,44,http://localhost:8081/transactions,16,0,0
1752172197071,39,HTTP Request,200,,Thread Group 1-21,text,true,,351,638,45,45,http://localhost:8081/transactions,39,0,0
1752172197094,16,HTTP Request,200,,Thread Group 1-24,text,true,,351,638,45,45,http://localhost:8081/transactions,16,0,0
1752172197090,22,HTTP Request,200,,Thread Group 1-11,text,true,,351,638,45,45,http://localhost:8081/transactions,22,0,0
1752172197064,49,HTTP Request,200,,Thread Group 1-39,text,true,,351,638,45,45,http://localhost:8081/transactions,49,0,2
1752172197077,36,HTTP Request,200,,Thread Group 1-41,text,true,,351,638,45,45,http://localhost:8081/transactions,36,0,1
1752172197095,20,HTTP Request,200,,Thread Group 1-34,text,true,,351,638,45,45,http://localhost:8081/transactions,20,0,0
1752172197092,23,HTTP Request,200,,Thread Group 1-2,text,true,,351,638,45,45,http://localhost:8081/transactions,23,0,0
1752172197091,28,HTTP Request,200,,Thread Group 1-29,text,true,,351,638,46,46,http://localhost:8081/transactions,28,0,0
1752172197082,38,HTTP Request,200,,Thread Group 1-7,text,true,,351,638,46,46,http://localhost:8081/transactions,38,0,0
1752172197100,24,HTTP Request,200,,Thread Group 1-19,text,true,,351,638,47,47,http://localhost:8081/transactions,24,0,0
1752172197069,55,HTTP Request,200,,Thread Group 1-17,text,true,,351,638,47,47,http://localhost:8081/transactions,55,0,0
